source.name,author,Quantidade
Ambcrypto.com,AMBCrypto Team,2
Bangkok Post,Nuntawun Polkuamdee,1
Biztoc.com,ankr.com,1
Biztoc.com,beincrypto.com,1
Biztoc.com,coindesk.com,2
Biztoc.com,coinjournal.net,2
Biztoc.com,coinpedia.org,2
Biztoc.com,coinspeaker.com,1
Biztoc.com,cryptonews.com,2
Biztoc.com,cryptopotato.com,1
Biztoc.com,cryptoslate.com,1
Biztoc.com,investorplace.com,1
CoinDesk,Bradley Keoun,2
CoinDesk,Daniel Kuhn,1
CoinDesk,Jim Myers,1
CoinDesk,"Lyllah Ledesma, Omkar Godbole",1
CoinDesk,Sam Kessler,1
CoinDesk,"Sarah Morton, Alex Tapscott",1
CoinDesk,Will Canny,1
Coinjournal.net,Chainwire,3
Coinjournal.net,Hassan Maishera,3
CryptoSlate,Elaine Zhu,1
CryptoSlate,Liam 'Akiba' Wright,1
CryptoSlate,Nate Whitehill,1
CryptoSlate,Oluwapelumi Adejumo,2
CryptoSlate,Solo Ceesay,1
CryptoSlate,Sonia Shaw,1
Cryptocynews.com,Eric Lee,1
Decrypt,Andrew Hayward,2
Decrypt,Jason Nelson,2
Decrypt,Jose Antonio Lanz,1
Dothewoo.io,BobWP,1
Financial Post,Business Wire,1
Finovate.com,David Penn,1
Forbes,"Billy Bambrough, Senior Contributor, 
 Billy Bambrough, Senior Contributor
 https://www.forbes.com/sites/billybambrough/",2
Forbes,"Cleve Mesidor, Contributor, 
 Cleve Mesidor, Contributor
 https://www.forbes.com/sites/clevemesidor/",1
Forbes,"John Hyatt, Forbes Staff, 
 John Hyatt, Forbes Staff
 https://www.forbes.com/sites/johnhyatt/",1
Forbes,"Lawrence Wintermeyer, Contributor, 
 Lawrence Wintermeyer, Contributor
 https://www.forbes.com/sites/lawrencewintermeyer/",1
Forbes,"Max (Chong) Li, Contributor, 
 Max (Chong) Li, Contributor
 https://www.forbes.com/sites/maxli/",1
Forbes,"Roomy Khan, Contributor, 
 Roomy Khan, Contributor
 https://www.forbes.com/sites/roomykhan/",1
Forbes,"Sandy Carter, Contributor, 
 Sandy Carter, Contributor
 https://www.forbes.com/sites/sandycarter/",2
Forbes,"Victoria Chynoweth, Contributor, 
 Victoria Chynoweth, Contributor
 https://www.forbes.com/sites/victoriachynoweth/",1
Forbes,"Zenger News, Contributor, 
 Zenger News, Contributor
 https://www.forbes.com/sites/zengernews/",2
Fortune,"Ben Weiss, Leo Schwartz",1
Fortune,"Leo Schwartz, Jessica Mathews",1
Gadgets360.com,"Radhika Parashar, Siddharth Suvarna",2
GlobeNewswire,Aryze,1
GlobeNewswire,Axiomesh,1
GlobeNewswire,Edge of Company,1
GlobeNewswire,MetaEra,1
GlobeNewswire,Metasphere Labs Inc.,1
GlobeNewswire,Particle Network,1
HackRead,Daily Contributors,1
HackRead,Uzair Amir,1
International Business Times,Marvie Basilan,8
Investing.com,Investing.com,1
Investing.com,Reuters,1
InvestorsObserver,InvestorsObserver,1
Live Science,Tim Danton,1
NerdWallet,Alana Benson,1
Project Syndicate,Paolo Tasca,1
SiliconANGLE News,Kyt Dotson,1
TechCrunch,Jacquelyn Melinek,1
Techreport.com,Nick Dunn,2
The Times of India,Reuters,1
Theregister.com,Thomas Claburn,1
ZyCrypto,PR DESK,3
newsBTC,Jake Simmons,2
pymnts.com,PYMNTS,1
